slug,timestamp,open,high,low,close,volume,quote_volume
btc-updown-15m-1767640500,1767640500,94325.98,94325.98,94325.97,94325.97,0.06621,6245.3231005
btc-updown-15m-1767640500,1767640501,94325.98,94325.98,94325.97,94325.97,0.00411,387.6797708
btc-updown-15m-1767640500,1767640502,94325.97,94325.98,94325.97,94325.97,0.05117,4826.659965
btc-updown-15m-1767640500,1767640503,94325.98,94325.98,94325.97,94325.97,0.00752,709.331359
btc-updown-15m-1767640500,1767640504,94325.98,94325.98,94325.97,94325.98,0.00421,397.1123753
btc-updown-15m-1767640500,1767640505,94325.98,94325.98,94320.43,94320.43,0.0638,6017.8216592
btc-updown-15m-1767640500,1767640506,94320.43,94320.43,94315.87,94315.88,0.19565,18453.1789258
btc-updown-15m-1767640500,1767640507,94315.88,94315.88,94315.87,94315.87,0.00053,49.9874132
btc-updown-15m-1767640500,1767640508,94315.88,94315.88,94315.87,94315.88,0.01133,1068.5988582
btc-updown-15m-1767640500,1767640509,94315.88,94315.88,94315.88,94315.88,0.0,0.0
btc-updown-15m-1767640500,1767640510,94315.87,94315.87,94310.11,94310.11,0.59215,55847.9259865
btc-updown-15m-1767640500,1767640511,94310.12,94310.12,94310.12,94310.12,0.00021,19.8051252
btc-updown-15m-1767640500,1767640512,94310.12,94310.12,94310.11,94310.11,0.00038,35.8378424
btc-updown-15m-1767640500,1767640513,94310.12,94310.12,94310.11,94310.11,0.00268,252.7510959
btc-updown-15m-1767640500,1767640514,94310.11,94310.12,94310.11,94310.12,0.01133,1068.5336566
btc-updown-15m-1767640500,1767640515,94310.11,94310.11,94310.11,94310.11,0.196,18484.78156
btc-updown-15m-1767640500,1767640516,94310.11,94310.12,94310.11,94310.11,0.01712,1614.5891011
btc-updown-15m-1767640500,1767640517,94310.11,94310.12,94310.11,94310.12,0.00203,191.449529
btc-updown-15m-1767640500,1767640518,94310.11,94310.12,94310.11,94310.12,0.00064,60.3584715
btc-updown-15m-1767640500,1767640519,94310.11,94310.11,94309.71,94309.72,0.70265,66266.9584225
btc-updown-15m-1767640500,1767640520,94309.71,94309.71,94305.58,94305.58,0.06174,5822.6041711
btc-updown-15m-1767640500,1767640521,94305.59,94305.59,94305.58,94305.58,0.00265,249.9097896
btc-updown-15m-1767640500,1767640522,94305.58,94305.58,94301.65,94301.65,0.119,11222.0318313
btc-updown-15m-1767640500,1767640523,94301.65,94301.65,94278.1,94278.1,0.69731,65750.7211261
btc-updown-15m-1767640500,1767640524,94278.1,94278.11,94278.1,94278.11,0.00606,571.3252966
btc-updown-15m-1767640500,1767640525,94278.11,94278.11,94278.1,94278.11,0.02367,2231.5626519
btc-updown-15m-1767640500,1767640526,94278.1,94278.1,94278.1,94278.1,0.01,942.781
btc-updown-15m-1767640500,1767640527,94278.11,94278.11,94278.1,94278.1,0.0039,367.684619
btc-updown-15m-1767640500,1767640528,94278.11,94278.11,94278.1,94278.11,0.05122,4828.9245865
btc-updown-15m-1767640500,1767640529,94278.1,94278.1,94277.59,94277.6,0.25666,24197.3666462
btc-updown-15m-1767640500,1767640530,94277.59,94277.59,94271.69,94271.69,0.22745,21442.2423306
btc-updown-15m-1767640500,1767640531,94271.7,94271.7,94270.39,94270.39,0.01699,1601.6731443
btc-updown-15m-1767640500,1767640532,94270.4,94270.4,94258.5,94258.5,0.7742,72979.2513552
btc-updown-15m-1767640500,1767640533,94258.5,94258.5,94256.11,94256.12,0.06874,6479.2049121
btc-updown-15m-1767640500,1767640534,94256.11,94256.11,94244.66,94244.67,0.3963,37351.552774
btc-updown-15m-1767640500,1767640535,94244.67,94244.67,94243.0,94243.0,1.05107,99057.4715665
btc-updown-15m-1767640500,1767640536,94243.0,94243.01,94243.0,94243.01,0.1281,12072.5291432
btc-updown-15m-1767640500,1767640537,94243.0,94243.0,94243.0,94243.0,0.01107,1043.27001
btc-updown-15m-1767640500,1767640538,94243.01,94249.6,94243.01,94249.6,0.84294,79444.0031759
btc-updown-15m-1767640500,1767640539,94249.6,94249.6,94249.6,94249.6,0.00165,155.51184
btc-updown-15m-1767640500,1767640540,94249.59,94254.1,94249.59,94254.1,0.70865,66792.5831439
btc-updown-15m-1767640500,1767640541,94254.1,94254.86,94254.1,94254.86,0.04795,4519.5115373
btc-updown-15m-1767640500,1767640542,94254.86,94254.86,94254.86,94254.86,9e-05,8.4829374
btc-updown-15m-1767640500,1767640543,94254.86,94266.6,94254.86,94266.6,0.18038,17002.4747742
btc-updown-15m-1767640500,1767640544,94266.59,94266.6,94266.59,94266.6,0.01314,1238.6631194
btc-updown-15m-1767640500,1767640545,94266.6,94266.6,94266.59,94266.59,0.01543,1454.5336335
btc-updown-15m-1767640500,1767640546,94266.6,94266.6,94266.6,94266.6,0.00251,236.609166
btc-updown-15m-1767640500,1767640547,94266.6,94266.6,94266.6,94266.6,0.00103,97.094598
btc-updown-15m-1767640500,1767640548,94266.6,94266.6,94266.59,94266.6,0.00162,152.7118822
btc-updown-15m-1767640500,1767640549,94266.6,94266.6,94254.85,94254.86,0.45996,43354.5346139
btc-updown-15m-1767640500,1767640550,94254.85,94254.85,94254.85,94254.85,0.0045,424.146825
btc-updown-15m-1767640500,1767640551,94254.85,94254.85,94243.07,94243.08,0.21722,20472.6046564
btc-updown-15m-1767640500,1767640552,94243.08,94243.08,94243.08,94243.08,0.00341,321.3689028
btc-updown-15m-1767640500,1767640553,94243.07,94243.08,94243.07,94243.07,0.00409,385.4541584
btc-updown-15m-1767640500,1767640554,94243.08,94243.08,94243.08,94243.08,0.00785,739.808178
btc-updown-15m-1767640500,1767640555,94243.08,94243.08,94243.07,94243.08,0.00133,125.3432851
btc-updown-15m-1767640500,1767640556,94243.07,94243.07,94243.07,94243.07,6e-05,5.6545842
btc-updown-15m-1767640500,1767640557,94243.08,94243.08,94243.07,94243.08,0.21328,20100.1621424
btc-updown-15m-1767640500,1767640558,94243.08,94243.08,94243.07,94243.08,0.04033,3800.823413
btc-updown-15m-1767640500,1767640559,94243.07,94243.08,94243.07,94243.07,0.00675,636.1407239
btc-updown-15m-1767640500,1767640560,94243.07,94252.0,94243.07,94252.0,0.3801,35822.0825415
btc-updown-15m-1767640500,1767640561,94251.99,94251.99,94251.99,94251.99,0.00218,205.4693382
btc-updown-15m-1767640500,1767640562,94252.0,94252.0,94252.0,94252.0,0.00032,30.16064
btc-updown-15m-1767640500,1767640563,94252.0,94257.68,94252.0,94257.68,0.11099,10461.4130583
btc-updown-15m-1767640500,1767640564,94257.67,94257.68,94257.67,94257.68,0.01042,982.1650207
btc-updown-15m-1767640500,1767640565,94257.68,94262.0,94257.68,94262.0,0.07935,7479.4949408
btc-updown-15m-1767640500,1767640566,94262.0,94268.0,94261.99,94268.0,0.08078,7614.8403418
btc-updown-15m-1767640500,1767640567,94268.01,94272.0,94268.01,94272.0,0.14001,13198.6253753
btc-updown-15m-1767640500,1767640568,94272.0,94272.0,94272.0,94272.0,0.02009,1893.92448
btc-updown-15m-1767640500,1767640569,94272.0,94272.0,94272.0,94272.0,0.00289,272.44608
btc-updown-15m-1767640500,1767640570,94271.99,94272.0,94271.99,94272.0,0.01387,1307.5526327
btc-updown-15m-1767640500,1767640571,94272.0,94272.0,94271.99,94271.99,0.00128,120.6681539
btc-updown-15m-1767640500,1767640572,94271.99,94272.0,94271.99,94271.99,0.00809,762.6604503
btc-updown-15m-1767640500,1767640573,94272.0,94272.0,94272.0,94272.0,0.00204,192.31488
btc-updown-15m-1767640500,1767640574,94272.0,94272.0,94272.0,94272.0,0.0006,56.5632
btc-updown-15m-1767640500,1767640575,94272.0,94272.0,94271.99,94272.0,0.01246,1174.6290993
btc-updown-15m-1767640500,1767640576,94272.0,94278.64,94271.99,94278.64,0.45505,42899.394187
btc-updown-15m-1767640500,1767640577,94278.63,94278.64,94278.63,94278.64,0.00863,813.6246192
btc-updown-15m-1767640500,1767640578,94278.64,94278.64,94278.64,94278.64,0.00451,425.1966664
btc-updown-15m-1767640500,1767640579,94278.64,94278.64,94278.64,94278.64,7e-05,6.5995048
btc-updown-15m-1767640500,1767640580,94278.64,94278.64,94278.63,94278.64,0.001,94.2786391
btc-updown-15m-1767640500,1767640581,94278.64,94278.64,94278.63,94278.64,0.00367,346.0026078
